epoch,accuracy,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,dice_loss,loss,lr,mean_io_u,precision,recall,val_accuracy,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_dice_loss,val_loss,val_mean_io_u,val_precision,val_recall
0,0.947480142,0.078658901,0.055139445,0.054849841,0.081731863,0.307394683,1.00E-04,0.543582916,0.955269754,0.937138855,0.98343277,0.16306442,0.134321719,0.142327428,0.039017722,0.076856121,0.61708653,0.988134325,0.976550698
1,0.982965231,0.198331997,0.143591195,0.148730263,0.031766146,0.071565405,1.00E-04,0.65353936,0.988068044,0.975599647,0.98343277,0.078176066,0.06567312,0.094017252,0.017637838,0.116869293,0.829009533,0.98669076,0.979656458
2,0.983161092,0.254755408,0.180515096,0.185974658,0.027787583,0.060174122,1.00E-04,0.706447482,0.990422428,0.975220323,0.98343277,0.152998909,0.100820214,0.129305124,0.0198381,0.07913544,0.774603605,0.987701118,0.97939688
3,0.983194888,0.289122373,0.207802698,0.212475285,0.025506837,0.054225221,1.00E-04,0.719864905,0.991889536,0.975433946,0.983432591,0.228222251,0.168669894,0.192944139,0.020625578,0.065071747,0.796223044,0.98999393,0.978390515
4,0.983243525,0.323162973,0.240565717,0.235739261,0.023292962,0.048684198,1.00E-04,0.735964835,0.993490577,0.975796759,0.983456671,0.273930162,0.211586908,0.227804229,0.020284729,0.061513711,0.790704966,0.99189055,0.977588832
5,0.983484864,0.349441677,0.262688309,0.262571156,0.021869885,0.045051467,1.00E-04,0.743019044,0.994353056,0.976216018,0.984030962,0.290828854,0.222882524,0.244758159,0.019800909,0.058093593,0.812948585,0.992627621,0.977546632
6,0.984167814,0.368297219,0.279539943,0.274956584,0.021095943,0.042955156,1.00E-04,0.755763471,0.994890511,0.976260781,0.984792709,0.30637598,0.235127941,0.25727424,0.01880876,0.06615629,0.792421937,0.992924988,0.977569461
7,0.984943151,0.38166815,0.285953611,0.284359723,0.020447217,0.04117794,1.00E-04,0.765633106,0.995181441,0.976465166,0.984812498,0.317859441,0.22872211,0.25747779,0.01712054,0.056576397,0.850408494,0.992359817,0.978923917
8,0.985694706,0.405557036,0.2868267,0.286493182,0.020237532,0.040937752,1.00E-04,0.661334038,0.995470226,0.976332545,0.985629916,0.361130089,0.247372419,0.268649787,0.017649863,0.044629566,0.771521568,0.993295252,0.978451312
9,0.986361504,0.442720056,0.293993324,0.28832522,0.019226905,0.038239609,1.00E-04,0.769550443,0.995743096,0.976595163,0.986438274,0.430133313,0.283323348,0.286793143,0.018205002,0.04271996,0.840676844,0.994992733,0.977190435
10,0.986593246,0.470529556,0.311531752,0.291281283,0.018840704,0.037333041,1.00E-04,0.770305514,0.995564401,0.977006257,0.986240745,0.447105736,0.287938982,0.272834748,0.019666623,0.043456919,0.799693406,0.995277405,0.976188838
11,0.986834109,0.483285069,0.315226376,0.293786108,0.018498272,0.03660183,1.00E-04,0.776750803,0.995509446,0.977490366,0.986332774,0.444071501,0.306969285,0.29939577,0.036154196,0.053527176,0.387597769,0.995934546,0.975378096
12,0.98693198,0.492632717,0.321338922,0.290723145,0.01829125,0.036409236,1.00E-04,0.649359822,0.995583236,0.977447093,0.98642689,0.437107861,0.299036294,0.291847825,0.01792887,0.040306531,0.59030807,0.994534612,0.977905452
13,0.987002552,0.49927476,0.331691444,0.304834962,0.018162105,0.035985049,1.00E-04,0.676705003,0.995564699,0.977703154,0.986382604,0.449186057,0.278000414,0.285549432,0.024276938,0.043590337,0.577557206,0.994746268,0.977123976
14,0.987249911,0.514829993,0.334218472,0.30620259,0.017580962,0.034244433,1.00E-04,0.753638983,0.99553895,0.978148937,0.986491919,0.470782608,0.299682468,0.289537311,0.022378955,0.041455958,0.636877477,0.995024681,0.976913512
15,0.987214863,0.511865139,0.33167249,0.304283082,0.018069381,0.036329202,1.00E-04,0.646046698,0.995381653,0.978243649,0.987194955,0.499919802,0.305059016,0.278530359,0.018125935,0.037507802,0.6386953,0.994701743,0.978533864
16,0.987574875,0.532315552,0.339918077,0.30839175,0.01704132,0.03308621,1.00E-04,0.732836843,0.995488405,0.978896499,0.98695004,0.517809927,0.330880493,0.309919596,0.025676049,0.040818818,0.495806694,0.996509731,0.975639403
17,0.987751365,0.544636667,0.352290839,0.31128329,0.01679164,0.032443691,1.00E-04,0.746000171,0.995422125,0.979297698,0.987554967,0.526791036,0.345949918,0.324293405,0.019251101,0.035577763,0.690301836,0.996160865,0.977437019
18,0.987834811,0.548736751,0.355865806,0.327528775,0.016615763,0.031949554,1.00E-04,0.758713722,0.995475769,0.979445934,0.987546802,0.53433156,0.336934507,0.317115694,0.019617988,0.036714479,0.699623883,0.995802999,0.97783047
19,0.988039851,0.559064686,0.358201921,0.327639341,0.016306633,0.031253222,1.00E-04,0.782046795,0.995495856,0.979789555,0.986555457,0.536670268,0.35607338,0.315103561,0.021963058,0.037983198,0.680306077,0.99505651,0.976947963
20,0.988138437,0.564539909,0.368471891,0.336958319,0.016176332,0.0308259,1.00E-04,0.77517879,0.995418489,0.980065823,0.98804599,0.546563566,0.345787525,0.317901284,0.018167313,0.033720803,0.702796578,0.995267808,0.97963655
21,0.988269627,0.569603324,0.375983089,0.341797888,0.015907468,0.030209811,1.00E-04,0.791243434,0.995363772,0.980396807,0.988144457,0.544237554,0.370582908,0.35757497,0.018626243,0.03406629,0.754937649,0.996096253,0.977989674
22,0.988385558,0.574024856,0.377045393,0.354214489,0.015756004,0.02986104,1.00E-04,0.793536663,0.995485008,0.980464518,0.987062097,0.57732147,0.338821709,0.336168289,0.0187582,0.034224153,0.765314817,0.993829548,0.979725122
23,0.988543987,0.580883384,0.383739084,0.360656738,0.015592628,0.029521894,1.00E-04,0.790628314,0.995363116,0.980813384,0.987106979,0.561047971,0.386832774,0.365246415,0.022219487,0.036737278,0.57101047,0.995109618,0.977804899
24,0.98846519,0.584301889,0.383049369,0.361502767,0.015753966,0.029737243,1.00E-04,0.781643748,0.995295286,0.980732203,0.98820281,0.562574446,0.368633062,0.34420234,0.018712152,0.033300411,0.639931917,0.995003104,0.980032206
25,0.988581121,0.585425794,0.390248656,0.365895063,0.015650321,0.029970286,1.00E-04,0.723581195,0.995224893,0.981080353,0.98715955,0.567003191,0.389539331,0.37316975,0.022635747,0.03672589,0.492337406,0.994894147,0.978182673
26,0.988836825,0.59945792,0.395378917,0.374142617,0.015220524,0.028691022,1.00E-04,0.748295426,0.995291233,0.981407881,0.988182366,0.552433491,0.40014711,0.364688277,0.018085396,0.033408236,0.567572296,0.99560672,0.979237258
27,0.988970399,0.605369627,0.403695464,0.387007892,0.015024461,0.028147778,1.00E-04,0.76929152,0.995264471,0.981687129,0.987326026,0.58489871,0.406372547,0.383574307,0.019961402,0.034958258,0.616550922,0.993631661,0.979854286
28,0.989233434,0.611861587,0.411834955,0.410652608,0.014738865,0.027559837,1.00E-04,0.790000021,0.995110273,0.982285857,0.988599718,0.580858767,0.416756988,0.405576885,0.018003728,0.032428771,0.647521615,0.995275617,0.980064452
29,0.989383638,0.619359136,0.424330682,0.415354788,0.014649104,0.027484771,1.00E-04,0.80391562,0.995100319,0.982501268,0.988959372,0.583675742,0.431017011,0.408396184,0.018477239,0.03275089,0.596169949,0.995286167,0.980603874
